Club	Last Name	First Name	Position	Base Salary	Guaranteed Compensation
POR	Paparatto	Norbeto	D	100000	100000
SEA	Pappa	Marco	M	75000	75000
DC	Parke	Jeff	D	215000	235500
CLB	Parkhurst	Michael	D	275000	300000
SEA	Parsemain	Kevin	F	48504	54486
CHI	Pause	Logan	M	75000	75000
MTL	Pearce	Heath	D	100000	100000
POR	Peay	Taylor	D	36500	36500
CHV	Pelletieri	Agustin	M	90000	90000
LA	Penedo	Jaime	D	135000	138562
DAL	Pereira	Michel	M	120000	141500
DAL	Perez	Blas	F	335000	359250
SJ	Perez	Matias	M	216000	216000
LA	Perk	Brian	D	60000	63125
MTL	Perkins	Troy	D	250000	271833
NY	Perrinelle	Damien	D	100008	100008
KC	Peterson	Jacob	F	110000	114833
PHI	Pfeffer	Zach	M	75000	85000
MTL	Piatti	Ignacio	M	387500	387500
SJ	Pierazzi Jean	Baptiste	M	240000	240000
COL	Piermayr	Thomas	D	70008	74429
SEA	Pineda	Gonzalo	M	80000	80000
CHI	Pineda	Victor	M	60000	66742
SJ	Pintos	Pablo	D	60000	122500
RSL	Plata	Joao	F	70000	70000
CLB	Pogatetz	Emanuel	D	360000	372500
CHI	Pongolle	Florent	F	72000	81000
DC	Pontius	Chris	M	350000	381000
DC	Porter	Kyle	M	52313	60955
POR	Powell	Alvas	D	48828	48828
COL	Powers	Dillon	M	95150	127650
ORL	Redding	Tommy	D	36500	44000
SEA	Remick	Dylan	D	36500	36500
CHV	Reo-Coker	Nigel	D	400000	446500
CHI	Reynish	Kyle	D	74000	78316
PHI	Ribeiro	Pedro	M	36504	36504
LA	Ribeiro Da Silva	Leonardo	D	105000	105000
TOR	Richter	Ryan	F	48500	48500
POR	Ricketts	Donovan	D	260000	260000
POR	Ridgewell	Liam	D	1200000	1200000
LA	Riley	James	D	80000	80000
RSL	Rimando	Nick	D	225000	235833
CHI	Ritter	Chris	M	48500	48500
CHV	Rivero	Martin	M	50004	50004
TOR	Roberts	Quillan	D	36504	36504
DC	Robinson	Jalen	D	55000	67000
NY	Robles	Luis	D	100000	125000
MTL	Rodriguez	Adrian Lopez	D	240000	291250
LA	Rogers	Robbie	F	160000	167500
DC	Rolfe	Chris	F	210000	225000
MTL	Romero	Andres	F	60000	60000
VAN	Rosales	Mauro	M	450000	450000
SEA	Rose	Andy	M	48825	48825
LA	Rowe	Brian	D	48825	48825
NE	Rowe	Kelyn	M	100000	181000
LA	Rugg	Charlie	F	48500	48500
KC	Saad	Soony	F	51150	51150
RSL	Saborio	Alvaro	F	360000	453333
HOU	Salazar	Bryan	F	48825	49825
RSL	Salcedo	Carlos	D	48500	48500
VAN	Salgado	Omar	F	100000	141868
SJ	Salinas	Shea	M	130000	133333
NY	Sam	Lloyd	F	136500	136500
VAN	Sampson	Ethen	D	36504	36504
NE	Sanchez	Jossimar	D	36504	36504
COL	Sanchez	Vincente	F	210000	286666
RSL	Sandoval	Devon	F	48500	48500
KC	Sapong	CJ	F	95000	112000
HOU	Sarkodie	Kofi	D	150000	195500
LA	Sarvas	Marcelo	M	192500	192500
CLB	Schoenfeld	Aaron	F	48825	48825
SJ	Schuler	Billy	F	48500	48500
RSL	Schuler	Chris	D	145000	162000
SEA	Scott	Zach	D	52500	52500
DC	Seaton	Michael	F	48500	51500
CHI	Segares	Gonzalo	D	160000	173333
DAL	Seitz	Chris	D	105000	105000
NY	Sekagya	Ibrahim	D	190000	219000
NY	Sene	Saer	F	152145	163682
COL	Serna	Dillon	M	52500	65500
DC	Shanosky	Conor	D	36500	36500
HOU	Sherrod	Mark	F	48504	48504
CHI	Shipp	Harrison	F	70000	95000
NE	Shuttleworth	Robert	D	90000	100000
DC	Silva	Luis	M	99440	134440
KC	Sinovic	Seth	M	125000	131750
MTL	Smith	Blake	M	51150	84900
NE	Smith	Donnie	M	36500	36500
NE	Soares	AJ	D	119180	159180
NE	Soffner	Luis	D	36500	36500
MTL	Soriola	Gege	D	120000	120000
LA	Sorto	Oscar	D	48825	50700
CHI	Soumare	Bakary	D	330000	370000
DAL	Span	Brian	M	48500	48500
CHV	Spangenberg	Trevor	D	36504	36504
CLB	Speas	Ben	F	65100	65100
SJ	Stephenson	Khari	M	65004	68336
RSL	Stertzer	John	M	36500	45875
KC	Steuble	Martin	M	120000	120000
NY	Stevenson	Eric	M	36504	36504
SJ	Stewart	Jordan	M	140000	140000
CHV	Sturgis	Nathan	D	114000	120333
CLB	Stuver	Brad	D	48500	48500
NE	Sundly	Alec	M	36504	36504
CLB	Sweat	Ben	D	48500	48500
HOU	Taylor	Jermaine	D	185000	194500
NE	Taylor	Tony	F	69996	79371
CLB	Tchani	Tony	M	150000	175000
VAN	Teibert	Russell	M	70000	75600
DAL	Texeira	David	F	338000	338000
DAL	Thomas	Hendry	M	180000	180000
SJ	Thompson	Tommy	M	140000	145000
NE	Tierney	Chris	D	100000	103333
MTL	Tissot	Maxim	D	48500	48500
CHV	Toia	Donny	D	36500	36500
DAL	Top	Jonathan	F	36500	36500
VAN	Tornaghi	Paolo	D	72000	72000
CHV	Torres	Erick	F	152004	152004
COL	Torres	Gabriel	F	250000	262500
SEA	Traore	Djimi	D	132000	132000
CLB	Trapp	Wil	M	125000	152000
POR	Tshuma	Schillo	F	75000	113000
CHV	Tyrpak	Kristopher	F	36504	36504
DAL	Ulloa	Victor	M	36504	36504
POR	Urruti	Maximiliano	F	200000	200000
PHI	Valdes	Carlos	D	294999	294999
POR	Valeri	Diego	M	500000	500000
COL	Van de Casteele	Grant	D	48500	60000
RSL	Velasquez	Sebastian	M	48825	48825
LA	Venter	Kyle	D	48500	61000
CLB	Viana	Agustin	D	115000	141666
POR	Villafana	Jorge	F	72765	74431
LA	Villarreal	Joseph	M	48825	50700
CLB	Wahl	Tyson	D	85000	89666
LA	Walker	Kenney	M	48825	48825
CLB	Walker	Matt	M	36500	36500
DAL	Walker	Nick	D	36500	36500
POR	Wallace	Rodney	M	150000	175000
CHI	Ward	Grant	F	48500	48500
TOR	Warner	Collen	M	115500	143000
VAN	Waston	Kendall	D	199992	201242
CHI	Watson	Matt	M	71663	82664
DAL	Watson	JeVaughn	M	110000	126875
COL	Watts	Jared	M	36500	36500
SEA	Weaver	Cam	F	48504	49004
POR	Weber	Andrew	D	48500	48500
PHI	Wenger	Andrew	D	140000	242000
PHI	Wheeler	Aaron	F	48825	48825
PHI	White	Ethan	D	80000	80000
TOR	Wiedeman	Andrew	F	60500	70500
CLB	Wiet	Matt	D	48500	48500
CLB	Williams	Josh	D	125000	125000
PHI	Williams	Sheanon	F	125000	130500
DC	Willis	Joe	D	48825	48825
RSL	Wingert	Chris	D	163590	170590
SJ	Wondolowski	Chris	M	600000	650000
NY	Wright-Phillips	Bradley	F	330000	372500
COL	Wynne	Marvell	D	200000	285000
SEA	Yedlin	DeAndre	D	80000	92000
POR	Zakuani	Steve	F	120000	120000
LA	Zardes	Gyasi	F	125000	198000
CHV	Zavaleta	Eriq	F	75000	105600
POR	Zemanski	Ben	M	80850	83350
DAL	Zendejas	Alejandro	F	36504	53170
DAL	Zimmerman	Walker	D	80000	160100
KC	Zizzo	Sal	F	77000	91045
KC	Zusi	Graham	F	600000	631388
